ber,did,mic,pas,pat,sas,yan
99,53,40,68,26,52,50
13,63,49,56,49,41,81
74,51,77,72,57,67,46
47,50,54,60,37,49,71
65,27,48,58,28,34,30
27,30,41,50,42,37,69
52,55,38,72,22,37,86
100,60,46,63,53,49,48
32,39,51,90,41,34,58
53,40,58,46,42,39,17
37,56,48,45,46,38,54
45,45,55,49,33,45,35
44,48,40,51,31,40,47
77,38,68,40,81,66,23
69,39,30,57,41,54,81
48,49,33,54,42,47,18
38,42,49,36,61,46,22
48,72,49,71,42,67,89
69,74,69,76,68,88,38
54,53,74,64,90,43,58
56,58,64,57,72,74,68
49,61,80,66,72,67,62
67,61,82,86,63,84,95
48,32,65,53,57,63,65
35,42,44,53,33,57,22
56,41,74,80,60,58,89
69,51,66,72,51,61,63
16,35,13,44,37,37,59
42,58,63,79,49,76,60
78,38,36,74,45,70,71
55,31,71,54,66,53,58
87,75,59,97,61,78,110
43,51,25,62,51,58,73
69,68,60,58,61,53,63
